class,text
pos,"Listening to the 1975's ambitious, often frustrating third full-length album, 2018's A Brief Inquiry into Online Relationships, it's clear that the Manchester outfit is not the same band that delivered their effusive 2013 debut. They sound somewhat more akin to the band that issued 2016's I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It. If that album found lead singer Matt Healypushing the group's emo and post-punk influences ever pop-ward, embracing R&B and adult contemporary stylings, then A Brief Inquiry takes those changes even further. Some of these tracks, like ""TOOTIMETOOTIMETOOTIME"" and ""Give Yourself a Try,"" sound like they could be demo recordings -- quickly captured song ideas rife with tinny programmed drums, electric guitars pushed a little too hot into the mix, and Healy's angsty croon buried in a gelatin haze of Auto-Tune. Elsewhere, they achieve a more grounded sophistication, offering up the sweet '90s R&B groove of ""Sincerity Is Scary"" and the dewy, jazz trumpet-accented ""Mine."" That both of these tracks wouldn't sound out of place on a D'Angelo album is a kind of triumph. ""It's Not a Living (If It's Not With You)"" comes the closest the sparkling sound of their early hits and goes even further in recreating the sugary Stock, Aitken & Waterman sound of 1989. Similarly, the gut-wrencher ""I Couldn't Be More in Love"" is straight-up Phil Collins pastiche.
Much like their ubiquitous self-titled theme song that subtly evolves with each album, the 1975 are a band of the moment, synthetic pop mavericks unburdened by any parochial genre constraints and able to drape themselves in an array of digital musical skins. It might be more easily dismissed as a savvy commercialism if the band wasn't so passionately committed to the process. Healy, who battled his own demons during the album's gestation, including entering rehab for heroin addiction, seems to be a man both at odds and in tune with his age. The album vibrates with tweetable immediacy, packing in a reference to the death of rapper Lil Peep next to heartfelt condemnations of immigrant bashing and timely references to the Me Too movement -- and that's all just in ""Love It If We Made It,"" a buoyantly earnest anthem that works as their own Internet-era version of Van Hagar's ""Right Now,"" Billy Joel's ""We Didn't Start the Fire,"" and Phil Collins' ""Another Day in Paradise."" Healy would love it if society survived to the next millennium, but as he sings on the song's chorus, ""modernity has failed us."" Much like the Internet itself, A Brief Inquiry into Online Relationships works best in small doses, when you can catch any one song on its own terms. And despite the often bleak themes at play on the album, there's also a refreshing hopefulness on many of the tracks that speaks to Healy's own recovery and willingness to say yes to even the most frothy pop trend. However, taken as a whole, the album is often as disparate and difficult to wade through as the social-media landscape it hopes to comment on.

"
pos,"you learn a couple of things when you get to my age,? announces Matt Healy, 29, a few minutes into the 1975?s third album. You suspect it is delivered with a wink to the camera. Nevertheless, the two and half years since their previous album, I Like It When You Sleep for You Are So Beautiful Yet So Unaware of It have been eventful for the band?s frontman, taking in vast commercial success, heroin addiction and a spell in rehab.
Healy and the rest of the 1975 have reappeared with an album that clearly wants to be an epochal statement: the presence of a spoken-word track performed by Siri, Apple?s virtual assistant, and the distinctly Radiohead-like song I Always Wanna Die Sometimes implies it wants to be a millennial OK Computer. But behind the handwringing angst and existential despair, OK Computer was remarkably focused and direct. A Brief Enquiry Into Online Relationships feels more like the musical equivalent of a drunk early hours social media post, as a spew of unedited ideas veers from inspired to faintly regrettable.
There is a hugely impressive musical diversity on display, which seems as much to do with reflecting how music exists online ? everything immediately available, stripped of its historical context ? as with showing off the contents of the band?s record collection. There?s something breathless about how it leaps from Drake-esque Auto-Tune to the smoky west coast jazz of Mine, to Love It If We Made It, (which sounds like Tears for Fears circa Songs from the Big Chair) to Give Yourself a Try?s knowing homage to Joy Division?s Disorder.
The album has more to offer than a series of clever pastiches. The band?s inventive songwriting never stints on radio friendliness ? the melody of TooTimeTooTimeTooTime is effervescent, while I Couldn?t Be More in Love is the kind of epic song that TV talent-show contestants feel impelled to take on. But they also push themselves. The vocal on Petrichor floats over stammering, glitchy techno; a quarter of Sincerity Is Scary is taken up with its intro, a cosseting blend of jazzy horns and piano.
On the downside, Healy has a tendency to occasionally tell you things you wish he?d kept to himself. The acoustic ballad Be My Mistake has a lovely melody, but it is also the sound of a rock star complaining about ladies wanting to have sex with him, as curious a play for the listener?s sympathy today as it was ever was. Then again, operating without filter is the point of Matty Healy. The same strange personality evinced in his interviews ? where grandiose rock-star pronouncements vie with painful honesty ? weaves through A Brief Inquiry.
Boldly, the album goes big on a deeply unfashionable, Bono-esque belief in the power of rock, as means of communication and as a unifying force in an atomised world. ?Instead of calling me out you should be pulling me in,? Healy sings. This is not a belief without pitfalls. There are certainly moments where his self-appointed spokesman-for-a-generation role weighs a little heavily and he ends up dealing in windy melodramatics ? ?modernity has failed us!? ? or singing things such as ?rest in peace Lil Peep / the poetry is in the streets?.
That tendency is undercut by Healy?s touching candour. The depiction of his heroin addiction on It?s Not Living (If It?s Not With You) is funny and unsparing, devoid of self-pity, at odds with the beautifully turned 80s pop backing. As a lover, he doesn?t emerge terribly well from Inside Your Mind or Sincerity Is Scary, both unvarnished portraits of jealousy and hypocrisy. He has a habit of completely wrong-footing you. The Siri-voiced The Man Who Married a Robot starts out abysmally ? like a well-meaning but excruciating youth theatre group performance about the perils of the internet ? but it unexpectedly turns witty and sharp. Surrounded By Heads and Bodies is another gorgeous song, delicate and understated, that takes its title from David Foster Wallace?s Infinite Jest. This seems pretentious until you realise it is from the book?s opening line ? the implication being that Healy, like many people, couldn?t face reading the whole thing.
A Brief Inquiry is not the unqualified triumph the 1975 had in mind. It?s stronger and punchier than its predecessor, but has moments where the group overreach. You could argue it?s rather confused, but, as Healy would doubtless point out, it is meant to reflect the times we live in, and they?re pretty confusing. And it is never boring ? it?s too restless and skittish for that, shot through with a very believable personality of its own. For all the reference points and deployment of chart-pop tropes, it couldn?t belong to anyone else.

"
pos,"As the album?s intermission, ?The Man Who Married A Robot / Love Theme? is a poem narrated by Siri (yes, the one that lives in your pocket), a Vonnegut-like allegory about loneliness, data, social media and internet addiction, concerning a man, SnowflakeSmasher86, and his friend, The Internet. ?When the man got sad, his friend had so many clever ways to make him feel better / He would get him cooked animals and show him the people having sex again / And he would always always agree with him,? it goes.
It?s easy to see ?The Man Who Married A Robot? as the album?s ?Fitter, Happier?, and it?s not the only moment in which ?A Brief Inquiry? begs comparison to Radiohead?s 1997 masterpiece ?OK Computer?. That record, also the band?s third, took a gloomy view of modern life when the internet was a luxury few had access to. Two decades later, The 1975?s album, written from the perspective of four digital natives, doesn?t so much condemn the march of technology, information and social media so much as accept it and debate it. It?s a nuanced record for a time when life?s shades of grey are darker and closer in contrast than they may have previously been, and it?s no less powerful as a result.
And from those greys, colour. Electronic flourishes to revel in. Gospel choirs to lift the soul. Every song offers an unexpected treat: the lovely ?Surrounded By Heads And Bodies? skips into a time-shifting drum beat where a chorus would normally sit; ?I Like America & America Likes Me? is Kanye-level in its virtuosic use of autotune; ?Inside Your Mind? blends ?90s post-rock with torch-song balladry and ?I Couldn?t Be More In Love? is a pitch-perfect 1980s wedding song pastiche, one of a handful of numbers that are so wilfully big, bold and emotional you expect upcoming tours may require six encores to bash each of them out with the appropriate gravity. Perhaps the biggest surprise comes in the form of ?Mine?, a Cole Porter-influenced jazz number that evokes golden era Hollywood, Disney soundtracks and finger-clicking crooners while reflecting wryly on modern life (?I fight crime online sometimes / I write rhymes I hide behind,?), a jarring dissonance that feels like hearing a song you?ve known your whole life for the very first time.
?Mine? is a breathtaking piece of work, and one of many here that proves that The 1975?s core songwriting team of Matty Healy and George Daniel are not just the most accomplished and creative duo working in pop right now but the closest thing we have to a present-day Lennon and McCartney, a pair whose golden touch makes them near-enough unassailable. Clever and profound, funny and light, serious and heartbreaking, painfully modern and classic-sounding all at the same time, ?A Brief Inquiry Into Online Relationships? is a game-changing album, one that challenges The 1975?s peers ? if, indeed, there are any ? to raise their game.

So Healy had set out to describe his own experience, but in doing so has produced an artefact that sums up millennial life, a magpie pop masterpiece that could only be made right now and right here. And for every stupid joke you?ve heard about avocados and house prices and safe spaces and jazz hands, this is a piece of art that shows another side to a generation, one of achievement, wit and humanity in the most confusing of times. Clever boys.
"
pos,"Matty Healy always said the first three 1975 albums would tell a story: his own, from teen dreamer living in an affluent hinterland of Manchester (2013?s self-titled debut) to pop star in the first flushes of fame (2016?s ?I Like It When You Sleep For You Are So Beautiful Yet So Unaware Of It?) and the Ziggy-ish conclusion to come.
Instead, The 1975 took to the studio to produce not one but two albums, the first of which is ?A Brief Inquiry Into Online Relations?, with the second, ?Notes On A Conditional Form?, to come next year. And this third album doesn?t just tell the story of Matty?s maturation as promised, it touches on modern politics, our relationship with technology and the entire Millennial experience, too. In doing so, it alights on bubblegum pop (?TOOTIMETOOTIMETOOTIME?), glitchy electronica (?How To Draw / Petrichor?), balladry (?Be My Mistake?), neo-jazz (?Sincerity Is Scary?), trad jazz (?Mine?) and all points in between.

If this is the continuing story of Matty Healy, things have either been going right on course or falling apart, depending on your preferred flavour of rock star. This is the album on which Matty?s self-destructive tendencies have taken hold, the cocaine psychosis of 2016?s ?UGH!? swapped for the rock clich‚s of heroin addiction, rehab, therapy, windswept solitude in a Northants residential studio and sun-drenched isolation in LA.
It?s a rich run of life experience that informs the album in surprising ways, not least ?It?s Not Living (If It?s Not With You)?, a ?Pretty In Pink?-style power-pop banger that sings dreamily about heroin as if it were a great lost love (?All I do is sit and think about you / If I knew what you?d do / Collapse my veins wearing beautiful shoes / It?s not living if it?s not with you?). It?s funny, clever and refreshingly honest, and it?s not even the most confessional thing here ? that would be a toss-up between ?Be My Mistake?, a heart-wrenching, guilt-sodden song about on-tour loneliness and infidelity, or ?I Always Wanna Die (Sometimes)?, the massive closing track, which is so personal and intense it might just leave you in tears.
So on the one hand it is a personal album about Matty?s experience, but it?s also an album about love in all its forms (even for delicious opiates), love being the thread that links its genre-hopping tracks. And there?s a macro scale to the album, too, one that holds a mirror up to society as well as to Matty?s pretty fizog. The towering ?Love It If We Made It? stands and points, aghast, at real-world horrors that have somehow been normalised, most jarringly ?a beach of drowning three-year-olds? and the words of the President Of The United States Of America, repeated verbatim, ?I moved on her like a bitch?, casting no particular opinion and asking the listener to draw conclusions instead.

"
pos,"Since storming out of the gates with their first EP six years ago, UK act the 1975 has thrown themselves into the sort of ?biggest band in the world? chatter that defines the music press of their homeland. Their penchant for huge choruses and hyper-neurotic lyrics made tracks like ?Chocolate? and ?Love Me? leap out of radios; leader Matty Healy possesses the wiry energy of rock?s most beloved vocalists and the thinking-out-loud candor of the post-Livejournal generation.
But calling them a rock band would be a fool?s errand, and their third record, the spectacular, genre-melding A Brief Inquiry Into Online Relationships, proves that even further. A sprawling, thoughtful LP that grapples with the big issues of our time in cheeky and mournful ways, it?s a poison-pen love letter to the interiority forced upon its audience by social media, piercing through the flatly punctuation-mark-free affect that dominates online chatter with brute-force musical curiosity and a well-placed gospel choir or two.

The scream-along ?Love It If We Made It,? which repurposes nihilistic trending topics into hope for bonhomie amidst soul-deadening anomie, and the percolating ?Give Yourself A Try,? a note to Healy?s younger self that speeds up and refracts The Strokes? ?Hard to Explain,? fall somewhere in the jittery, riff-heavy modern-rock ideal. But much of Inquiry takes on the trend of dourness that?s washed over pop these past few years and flips it into explorations of the self, propelled by a streaming-era knack for zig-zag-ing through genres in seconds?sophistipop fades into jazz fades into big-ticket MOR fades into Quiet Storm. Call it a brief inquiry into the state of the all-ballad playlist: ?Surrounded By Heads and Bodies,? which places its spare poem about a rehab friend of Healy?s beneath a winking Infinite Jest reference, is a haze of bedroom-studio guitars and swirling synths; the pleading ?I Couldn?t Be More In Love? glistens like a single tear falling down a cheek, Healy?s anguished vocal joining forces with a gospel choir over icy keyboards; and ?Mine? mashes together brushed drums, static electricity, a solo by the late jazz trumpeter Roy Hargrove, and Healy?s crushed-velvet delivery.
?Sincerity Is Scary,? proclaims the title of one Inquiry standout among many, a shuffling rumination on the gaps between people that underscores Healy?s hoped-for leap into faith with a gospel choir. But on this stunning album, The 1975 take on that overwhelming anxiety with nerve and aplomb, and the result combines the fist-raising inspired by anthems with the gut-punch provided by precisely described longing.
"
pos,"The 1975 have been playing together since they were schoolboys in Cheshire in 2002, releasing a thrilling debut album in 2013 and developing in leaps and bounds ever since. What they have done, perhaps better than anyone else, is to adapt the swaggering gang manner, art-school aspirations and rebellious conviction of a classic rock combo for the shiny, instant-gratification impulses of our digital pop era. It's a fusion that - in a time when rock is routinely dismissed as dead - might just prove to be the genre's greatest hope.
As its arch title implies, A Brief Inquiry Into Online Relationships is vigorously engaged with contemporary culture, and the band have concocted a sound to match. The ambience is overloaded, kaleidoscopic, a dizzying rush of styles mashed together, encompassing vocoder folk (The 1975), glitchy electronica (How To Draw / Petrichor), cocktail jazz (Mine), sensitive acoustic singer-songwriting (Be My Mistake), warped neo soul (Sincerity Is Scary), lush synth balladry (I Couldn't Be More In Love), fizzing indie rock (Give Yourself A Try) and sugar-coated dance pop (TOOTIMETOOTIME-TOOTIME). It could almost be a random playlist on shuffle but for the unifying aesthetic factors of lyrical, vocal and instrumental tone.
Lead singer Matt Healy is a clever lyricist, easily shifting from witty sloganeering to tender confessional while squeezing phrases like ""self-referential"" and ""intermediately versed"" into love songs bristling with chart pop hooks. A theme emerges of trust in the internet age, shot through with anxiety about whether honest interpersonal communication can survive a relentless assault of information. A spoken word piece, The Man Who Married a Robot, is expressionlessly narrated by Apple's virtual assistant Siri. It labours a satirical point about our willingness to sacrifice human connection for virtual gratification, but it is still affecting, turning ""You can go on his Facebook"" into a bleak epitaph.
A tone of urgent honesty pulses through the album, a visceral need to connect that shatters the production's glittering surfaces, breaking through with emotional weight on the warped synth ballad Inside Your Mind and the dreamily epic final track, I Always Wanna Die (Sometimes).
""There are no big bands doing anything as interesting as us,"" Healy, 29, recently proclaimed. It is the kind of rubbish rock stars used to spout all the time, and yet it is oddly reassuring to hear a young, 21st-century frontman in the ring with that old-fashioned bravado, inviting all-comers to take pot shots. Right now, The 1975 are the band to beat.

"
pos,"As well as having a mouthful of a title, the 1975's sophomore album, 2016's I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It, is the kind of ambitious, self-indulgent album that either marks a grand misstep by a fledgling band, or the start of something big. Produced by Mike Crossey, I Like It When You Sleep finds the 1975 picking up on many of the stylistic threads running through their Crossey-helmed, self-titled 2013 debut: synthy new wave, kinetic dance-rock, and atmospheric balladry. The difference this time around is Crossey, and the band's pristine studio execution, marked by a distinctive '80s adult contemporary aesthetic. While bands like MGMT and Vampire Weekend have long mined the VH-1 vaults for stylistic inspiration, there's nothing mannered about the 1975's retro-leanings. Despite their name and their ear for '80s synthesizers, the British outfit sound much more flamboyant than their contemporaries. This is primarily due to the contributions of lead singer Matthew Healy, whose overly wordy lyrics and weird, playfully dark persona -- sort of like a sexual Fraggle -- can sometimes put listeners off the pop scent. As he sings on ""The Sound,"" ""It's not about reciprocation, it's just all about me/A sycophantic, prophetic, Socratic, junkie wannabe.""
In that sense, the 1975 are more in line with the swagger of artists like INXS, U2, or even Madonna for that matter, whose early hits clearly had an impact on the group's approach here. Cuts like ""UGH!,"" and the cheeky, plastic funk single ""Love Me,"" sound delightfully like something Madonna might have made in collaboration with Chic guitarist Nile Rodgers and art-pop duo Yello. Similarly, ""The Sound"" and the sparkling anthem ""She's American,"" feature brightly infectious hooks that wouldn't be out of place on a Prince album. In fact, there's a palpable R&B inclination running through much of I Like It When You Sleep. It's a vibe that reaches an apex on the yearning, mid-album slow-jam, ""If I Believe You,"" which also happens to feature a gorgeously rendered flÅgelhorn solo from jazz star and longtime D'Angelocollaborator Roy Hargrove.
Elsewhere, in keeping with the overall '80s adult contemporary sound, tracks like the shimmeringly moody ""Somebody Else"" and the sweetly romantic ""Paris,"" bring to mind Tango in the Night-era Fleetwood Mac. Admittedly, at 17 tracks, I Like It When You Sleep is long. And given the poetic, atmospheric nature of many of the songs, it's somewhat unwieldy in one sitting. Ultimately, however, it's that uncompromising mix of POP (in capitalize letters) and inventive, exploratory musicianship that help make it such a rewarding listen. As the title implies, it may take the 1975 a while to get to the point on I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It, but when they do, the results are revelatory.

"
pos,"The 1975?s second album arrives freighted with expectations, and not just the usual expectations that get heaped upon the follow-up to a platinum-selling debut: advance publicity suggests that listeners should prepare for something strange, confounding and experimental. Some of this has been emanating from what?s left of the music press: ?hugely ambitious and surreal?, ?no easy listen?, ?2016?s most unpredictable album?. And some of it has come from the 1975?s frontman, Matty Healy, a man who happily seems to have made it his life?s mission to never knowingly think before speaking when in the presence of a journalist: ?I?m challenging people to sit through an hour and 15 minutes and 17 songs that all sound completely different from each other. It?s quite an emotional investment. It?s art ? the world needs this album.?
To this, one might reasonably respond that the 1975 were a fairly confounding prospect in the first place, a putatively alternative rock band ? leather jackets; two guitars, bass and drums; emo-ish lyrics ? whose music seemed, to the untrained ear, almost identical to the kind of chart pop that alternative rock bands are supposed to provide an alternative to: their eponymous debut was thick with synthesisers and the kind of 80s drivetime-rock influences that underpin Taylor Swift?s 1989 or Carly Rae Jepsen?s Emotion, and for all the surly posturing in photographs, there?s a doe-eyed, boyband-ish quality about Healy?s vocals. Still, even the most cursory examination of I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It reveals that someone has contracted a raging case of the Serious Artists, a condition developed by pop stars who discover that selling hundreds of thousands of records and attracting crowds of screaming girls leaves them curiously unfulfilled.
All the common indications are here, from the self-consciously wordy title to the presence of a sombre instrumental that skulks around for four and a half minutes hoping someone?s going to compare it to Brian Eno or Berlin-era Bowie. Elsewhere we find singles heralded by typewritten manifestos and illustrations based on old Situationist cartoons; a desire to induce people to deploy the adjective ?meta? ? the album begins with another version of the brief eponymous track that opened their debut, as if it were a theme tune or advertising jingle, and there are a lot of lyrics that seem to address their fanbase?s fandom ? and the presence of arcing, distorted guitars in the style of My Bloody Valentine or Mogwai.
Further complications arise from the fact that they appear to be suffering from Second Album Syndrome, too, presenting symptoms including the delusional belief that your cocaine habit is fascinating, a pathological urge to furnish a grateful world with the news that fame isn?t all it?s cracked up to be, and a compulsion to apprise everyone of the hollowness and insincerity of celebrity parties. This is pretty well-worn territory, and occasionally it feels like it ? introduced by an eerie female chorus and heavy on screamed vocals, The Ballad of Me and My Brain is a faintly excruciating depiction of rockstar ennui.
Incredibly, though, most of the time Healy gets away with it. That?s sometimes because his observations are sharp ? as a skewering of celebrity #squad culture, ?you look famous, let?s be friends / And portray we possess something important / And do the things we like? is pretty acute ? but more usually because they come loaded with witty self-awareness and deprecation: the endless depictions of vacuous, coke-numbed girls he has met would get wearying were it not for the fact that he keeps turning the lyrical crosshair on himself. The lady in A Change of Heart sounds awful, but not as awful as him, quoting Jack Kerouac ?like a twat?. Furthermore, he has an eye for a prosaic detail that undercuts the air of bustling self-importance. Rock stars have a tendency to depict their drug problems in hysterically grandiose terms ? ?what tongueless ghost of sin crept through my curtains?? as Noel Gallagher put it ? but Healy is more mundane and realistic: ?You look shit and you smell a bit.?
Advertisement
Besides, for all the talk about the hollowness of celebrity, I Like It When You Sleep ? does not sound much like the work of people in any great hurry to leave fame behind. The stuff about Situationism feels a bit hackneyed and bolted on: the album ends with stark and affecting acoustic tracks about the death of Healy?s grandmother and his mother?s collapse into postnatal depression ? the former called Nana, no less ? that suggest the frontman may be substantially more interested in painful soul-bearing than in arch commentary. The musical experimentation, meanwhile, is neither here nor there: you could find better moody instrumentals and shoegazey guitar tracks elsewhere, and it perhaps says more about the times than the album in question when a rock band drafting in a gospel choir (on If I Believe You) gets treated as a baffling musical left-turn from which the blown minds of listeners may never fully recover. Instead, the real strength of the album isn?t much different to that of their debut. It?s stuffed with really good pop songs, their writers clearly unencumbered by fear of a certain melodic gaucheness: certainly there are few songs about numb-nosed ennui with quite as shamelessly toothsome a tune as Paris. Subtlety and fine detail are left for the arrangements, or at least some of them: there?s real intricacy in the mesh of guitars and synthesisers on UGH! or Love Me, and a knowingness about the way This Must Be My Dream breaks out the Careless Whisper sax three minutes in, but The Sound is straightforward pop-house. The real point of these songs is the huge, inescapable pop hook you find in all of them: they sound like hit singles.
You?re left with an album that fancies itself as a challenging work of art, but turns out to be a collection of fantastic pop songs full of interesting, smart lyrics, but also peppered with self-conscious lunges for a gravitas it doesn?t really need. Whether that makes it a success or a failure depends on whose metric you use, although there?s a sense that, for all his grandstanding, Healy may know where his strengths really lie: ?I?m the Greek economy of cashing intellectual cheques,? he shrugs on Loving Someone, immediately after making a clanging reference to Guy Debord. He can afford his insouciance: its failings aren?t going to preclude I Like It When You Sleep ? becoming a vast success.

"
pos,"Hey, what gives, fellas? INXS and Duran Duran weren?t around in 1975. This ascendant U.K. quartet ground their second album in sleek dance rock that often feels like it was sculpted on a gaudy Eighties budget as the bandmates tried hard not to get too sweaty in their aqua-neon sport jackets. No shame in that ? and they do it well, filtering in elements of spacy ambience (with echoes of acts from My Bloody Valentine to M83), Jacksonian R&B and arty dance pop. At times, the vibe approximates what might have happened if Michael Hutchence had stuck around long enough to make a record with LCD Soundsystem?s James Murphy in the producer?s chair. ?Love Me? funkily recalls Nile Rodgers? splashiest Duran productions; ?A Change of Heart? is the John Hughes soundtrack ballad moment. Singer Matthew Healy is a smooth, versatile crooner, going from disco lizard king (the slickly strutting ?UGH?) to the Brit-soul buoyancy of ?Loving Someone? to the careless whispers of ?Paris.?
The album?s rambling, vaguely emo title is a giveaway: Despite opening big, bright and airtight, I Like It When You Sleep ? gets boring-melty during dream-gaze reveries like ?Please Be Naked? and ?Lostmyhead.? Even so, when they hit the right kind of moody sheen (?Somebody Else,? ?Loving Someone?), the 1975 are an enjoyable balance of desire and distraction.
"
pos,"The 2013 self-titled debut album from the 1975 is a superb album that finds the Manchester outfit poised on the brink of stardom. When rock guitars meet dancefloor synths, '80s influences become hard to deny, but while the 1975 definitely have a retro vibe (hence the name), the alchemy of how they bring those influences to bear is totally contemporary. While many of the tracks here bring to mind such icons as Peter Gabriel, INXS, and U2, they also fit nicely next to artists of the same moment, like Passion Pit, Temper Trap, and M83. It helps that lead singer/songwriter Matthew Healy has a compelling tenor croon that can soar like Bono one minute and coo like Lionel Richie the next. There is also a sophistication to the band's songs, and an instinct to blur genre lines that makes it hard to box them into one, easy to define sound. In that sense, the band also recalls the way Fall Out Boy combined the rhythmic phrasing and melodies of contemporary R&B with their own brand of driving, guitar-based emo-rock. Much has been made of the 1975's avowed love of '80s John Hughes movies, and many of the cuts here, like the thrilling, lovesick ""Settle Down"" and the sparkling ""Girls,"" play with such great narrative momentum that they sound like songs culled from a Hughes soundtrack. Meanwhile, cuts like ""The City,"" ""Chocolate,"" and ""Sex"" drive and climb like the best anthemic '80s stadium rock, roiling a host of influences into a single distinct sound that, the moment it hits your ears, becomes timeless.

"
